Months,Grocery_sales,Stationary_sales
Jan,36,84
Jan,51,63
Jan,17,71
Jan,48,65
Jan,57,66
Jan,44,47
Jan,32,45
Jan,59,49
Jan,55,58
Jan,66,36
Jan,67,41
Jan,15,73
Jan,1,61
Jan,49,5
Jan,33,25
Feb,58,44
Feb,72,81
Feb,28,23
Feb,3,12
Feb,25,19
Feb,38,79
Feb,68,46
Feb,13,68
Feb,6,74
Feb,63,16
Feb,14,39
Feb,24,42
Feb,46,13
Feb,70,38
Feb,42,72
Feb,60,27
Feb,22,8
Feb,73,48
Feb,64,50
Feb,29,69
Feb,71,51
Feb,52,24
Feb,74,17
Feb,26,11
Feb,16,22
Mar,5,40
Mar,39,70
Mar,54,43
Mar,50,76
Mar,9,6
Mar,41,18
Mar,19,32
Mar,4,80
Mar,12,55
Mar,23,54
Mar,37,60
Mar,35,62
Mar,10,14
Mar,27,82
Mar,34,52
Mar,2,28
Mar,20,26
Mar,65,10
Mar,61,9
Mar,11,83
Mar,47,53
Mar,45,56
Mar,18,34
Mar,56,20
Mar,30,59
Mar,62,35
Mar,40,78
Mar,53,75
Mar,69,29
Mar,31,30
