Months,Grocery_sales,Stationary_sales
Jan,16,57
Jan,44,139
Jan,15,85
Jan,59,8
Jan,36,106
Jan,27,136
Jan,74,116
Jan,63,142
Jan,65,129
Jan,12,138
Feb,34,112
Feb,73,100
Feb,45,135
Feb,31,13
Feb,61,51
Feb,13,26
Feb,20,141
Feb,18,72
Feb,60,134
Feb,62,47
Feb,56,48
Feb,25,75
Feb,58,55
Feb,10,118
Feb,37,14
Mar,72,97
Mar,48,63
Mar,64,54
Mar,14,78
Mar,51,104
Mar,30,133
Mar,38,7
Mar,68,29
Mar,66,80
Mar,41,16
Mar,54,111
Mar,46,147
Mar,43,137
Mar,35,6
Mar,55,50
Mar,19,34
Mar,23,56
Mar,28,73
Mar,53,69
Mar,57,124
Mar,39,12
Mar,11,86
Mar,47,41
Mar,52,68
Mar,29,113
