freq,unit,schedule,tra_cov,tra_meas,geo\TIME_PERIOD	2019-01 	2019-02 	2019-03 	2019-04 	2019-05 	2019-06 	2019-07 	2019-08 	2019-09 	2019-10 	2019-11 	2019-12 	2020-01 	2020-02 	2020-03 	2020-04
M,PAS,TOT,TOTAL,PAS_CRD,AT	2285034 	2349892 	2871838 	2978376 	3038394 	3314289 	3504875 	3511121 	3306004 	3095301 	2591272 	2797792 	: 	: 	: 	:
M,PAS,TOT,TOTAL,PAS_CRD,BE	2253327 	2187148 	2643934 	3107492 	3102755 	3257996 	3650171 	3570657 	3325409 	3120567 	2611508 	: 	: 	: 	: 	:
M,PAS,TOT,TOTAL,PAS_CRD,BG	570956 	536254 	618037 	678527 	877009 	1455157 	1866085 	1885574 	1290977 	717317 	584000 	633175 	: 	: 	: 	:
M,PAS,TOT,TOTAL,PAS_CRD,CH	3990345 	3958347 	4710650 	4948984 	4853106 	5160769 	5621555 	5585170 	5108332 	5101639 	3829064 	4326367 	4076384 	3968157 	1790567 	:
M,PAS,TOT,TOTAL,PAS_CRD,CY	421821 	410208 	564040 	864105 	1128899 	1293838 	1434271 	1483105 	1323131 	1194798 	626571 	516623 	459432 	446049 	230760 	:
M,PAS,TOT,TOTAL,PAS_CRD,CZ	1015592 	1011909 	1269379 	1434249 	1540267 	1925827 	2171017 	2196935 	1993067 	1643154 	1282563 	1348737 	1088657 	1037299 	444914 	:
M,PAS,TOT,TOTAL,PAS_CRD,DE	14177333 	13965763 	17192573 	19190820 	20253183 	21595042 	22839831 	22756833 	22175455 	21573621 	15703175 	15340457 	14069946 	13659950 	6503935 	265803
M,PAS,TOT,TOTAL,PAS_CRD,DK	2233010 	2260089 	2652203 	2884516 	3075631 	3401375 	3640974 	3416166 	3273384 	3168106 	2443406 	2331267 	2247098 	2274056 	978517 	:
M,PAS,TOT,TOTAL,PAS_CRD,EE	204783 	194398 	230699 	265748 	300446 	316964 	318394 	325152 	310000 	315559 	241243 	234617 	: 	: 	: 	:
M,PAS,TOT,TOTAL,PAS_CRD,EL	1652468 	1567624 	1957347 	3134121 	5176922 	7632190 	8993720 	9284850 	7690464 	4947216 	2056288 	1995317 	: 	: 	: 	:
M,PAS,TOT,TOTAL,PAS_CRD,ES	13481499 	13178489 	16164025 	19182226 	20503083 	22809002 	24573047 	24746840 	22655739 	20521364 	14740700 	14632998 	: 	: 	: 	:
M,PAS,TOT,TOTAL,PAS_CRD,EU27_2007	71931200 	69497575 	83283144 	94194758 	100564112 	111518269 	120888852 	121862084 	110875158 	: 	: 	: 	: 	: 	: 	:
M,PAS,TOT,TOTAL,PAS_CRD,EU27_2020	63804763 	61849749 	74446654 	84991830 	91231555 	101697241 	110382563 	111131700 	101406971 	: 	: 	: 	: 	: 	: 	:
M,PAS,TOT,TOTAL,PAS_CRD,EU28	72013393 	69583716 	83398917 	94375183 	100788894 	111864727 	121360714 	122283225 	111213297 	: 	: 	: 	: 	: 	: 	:
M,PAS,TOT,TOTAL,PAS_CRD,FI	1692000 	1661389 	1888249 	1912984 	2035323 	2142627 	2174155 	2107270 	2028042 	2017173 	1670147 	1958570 	1735159 	1632718 	808213 	22138
M,PAS,TOT,TOTAL,PAS_CRD,FR	11232264 	10788754 	12894631 	14819266 	14661980 	15965628 	17326395 	17295281 	15280351 	14663705 	11688488 	12100036 	: 	: 	: 	:
M,PAS,TOT,TOTAL,PAS_CRD,HR	226655 	222707 	306168 	702852 	1048276 	1465003 	1868350 	1837031 	1404508 	953021 	314507 	274161 	231176 	224737 	119489 	4478
M,PAS,TOT,TOTAL,PAS_CRD,HU	1032569 	998417 	1205927 	1382213 	1460105 	1525779 	1663035 	1675544 	1566297 	1522375 	1309357 	1359132 	1204138 	1144820 	508702 	:
M,PAS,TOT,TOTAL,PAS_CRD,IE	2347603 	2286662 	2779886 	3224936 	3462571 	3763063 	4030976 	4008037 	3527592 	3311286 	2588600 	2616298 	: 	: 	: 	:
M,PAS,TOT,TOTAL,PAS_CRD,IS	558501 	534003 	614289 	499921 	610877 	817429 	877905 	876400 	675930 	583392 	461608 	473942 	395374 	414840 	231375 	5358
M,PAS,TOT,TOTAL,PAS_CRD,IT	9800069 	9461722 	11510279 	13442198 	14328905 	15744491 	17135702 	17376844 	15891629 	14203892 	10786901 	10939234 	: 	: 	: 	:
M,PAS,TOT,TOTAL,PAS_CRD,LT	443403 	411765 	466939 	540420 	620978 	604824 	595440 	621917 	603338 	622758 	496501 	476402 	455142 	446654 	202850 	:
M,PAS,TOT,TOTAL,PAS_CRD,LU	258957 	267687 	320896 	384281 	393188 	407702 	424944 	420265 	415421 	403270 	331381 	337577 	289047 	295991 	128453 	:
