Publisher,Journal title,Article title,Cost
Elsevier,Academy of Nutrition and Dietetics,Parent support and parent mediated behaviours are associated with children's sugary beverage consumption,"£2 379,54"
ACS (Amercian Chemical Society) Publications,ACS Chemical Biology,A Novel Allosteric Inhibitor of the Uridine Diphosphate N-Acetylglucosamine Pyrophosphorylase from Trypanosoma brucei.,"£1 294,59"
ACS (Amercian Chemical Society) Publications,ACS Chemical Biology,Chemical proteomic analysis reveals the drugability of the kinome of Trypanosoma brucei.,"£1 294,78"
American Chemical Society,ACS Chemical Biology,Discovery of β2 Adrenergic Receptor Ligands Using Biosensor Fragment Screening of Tagged Wild-Type Receptor,"£947,07"
American Chemical Society,ACS Chemical Biology,Discovery of an allosteric inhibitor binding site in 3-oxo-acyl-ACP reductase from Pseudomonas aeruginosa,"£1 267,76"
American Chemical Society,ACS Chemical Biology,Synthesis of alpha-glucan in mycobacteria involves a hetero-octameric complex of trehalose synthase TreS and maltokinase Pep2,"£2 286,73"
American Chemical Society,ACS Chemical Neuroscience,Continuous online microdialysis using microfluidic sensors: dynamic neuro-metabolic changes during spreading depolarisation,"£1 186,80"
AMERICAN CHEMICAL SOCIETY,ACS NANO,HYDROXY-TERMINATED CONJUGATED POLYMER NANOPARTICLES HAVE NEAR-UNITY BRIGHT FRACTION,"£642,89"
American Chemical Society Publications,ACS Nano,"Skin dendritic cell targeting via microneedle arrays laden with antigen-encapsulated poly-D,L-lactide-co-glycolide nanoparticles induces efficient antitumor and antiviral immune responses.","£693,39"
International Union of Crystallography ,"Acta Crystallographica Section D,  Biological Crystallography ",Clustering procedures for the optimal selection of data sets from multiple crystals in macromolecular  crystallography ,"£771,42"
International Union of Crystallography,Acta Crystallographica Section D: Biological Crystallography,Intensity statistics in the presence of translational non-crystallographic symmetry,"£773,74"
International Union of Crystallography (iucr),Acta Crystallographica Section F: Structural Biology and Crystallization Communications,Structure of diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase from Acinetobacter baumannii.,"£785,60"
International Union of Crystallography (iucr),Acta Crystallographica Section F: Structural Biology and Crystallization Communications,Structure of Pseudomonas aeruginosa inosine 5'-monophosphate dehydrogenase,"£807,67"
International Union of Crystallography,"Acta Crystallographica, Section D",Nearest-cell: a fast and easy tool for locating crystal matches in the PDB.,"£757,18"
International Union of Crystallography,Acta Crystallography D,"Crystallization, dehydration and experimental phasing of WbdD, a bifunctional kinase and methyltransferase from Escherichia coli O9a","£774,19"
International Union of Crystallography,Acta D,Structure of HLA-A*0301 in complex with a peptide of proteolipid protein: insights into the role of HLA-A alleles in susceptibility to multiple sclerosis.,"£750,16"
Society for Publication of Acta Dermato-Venereologica,Acta Dermato Venereologica,"The Importance of a Full Clinical Examination: Assessment of Index
Lesions Referred to a Skin Cancer Clinic Without a Total Body Skin
Examination Would Miss One in Three Melanomas","£653,96"
Springer,Acta Diabetologica,A rare SNP in pre-miR-34a is associated with increased levels of miR-34a in pancreatic beta cells,"£2 336,28"
International Union of Crystallography,ACTA F,Crystallization and preliminary crystallographic analysis of the major capsid proteins VP16 and VP17 of bacteriophage P23-77,"£754,90"
Springer,Acta Neuropathol,Overexpression of human wild-type FUS causes progressive motor neuron degeneration in an age- and dose-dependent fashion,"£1 901,04"
Springer,Acta Neuropathologica,Î±-Synucleinopathy associated with G51D SNCA mutation: A link between Parkinson's disease and multiple system atrophy?,"£1 884,01"
Springer,Acta Neuropathologica,Insufficient OPC migration into demyelinated lesions is a cause of poor remyelination in MS and mouse models,"£2 250,97"
Springer,Acta Neuropathologica,Unravelling the enigma o selective vulnerability in neurodegeneration: motor neurons resistant to degeneration in ALS show distinct gene expression characteristics and decreased susceptibility to excitotoxicity,"£2 348,21"
Wiley-Blackwell,Acta Opthalmologica,Visual and psychological morbidity among patients with autosomal dominant optic atrophy,"£2 270,16"
Wiley,Acta Physiol,Integration of transient receptor potential canonical channels with lipids,"£1 991,50"
Wiley,Addiction,"Acute alcohol-related dysfunction as a predictor of employment status in a longitudinal study of working age men in Izhevsk, Russia.","£1 919,51"
Wiley,Addiction,"Childhood conduct disorder trajectories, prior risk factors and cannabis use at age 16: birth cohort study","£2 352,94"
Springer,Advances in Experimental Medicine and Biology,Wavelet cross-correlation to investigate regional variations in cerebral oxygenation in infants supported on extracorporeal membrane oxygenation,"£1 928,45"
Springer,Advances in Experimental Medicine and Biology,Modelling Cerebrovascular Reactivity: A Novel Near-Infrared Biomarker of Cerebral Autoregulation?,"£1 928,46"
Springer,Advances in Experimental Medicine and Biology,Normobaric hyperoxia does not change optical scattering or pathlength but does increase oxidised cytochrome C oxidase concentration in patients with brain injury,"£1 928,46"
Springer,Advances in Experimental Medicine and Biology,Oscillations in cerebral haemodynamics in patients with falciparum malaria,"£1 928,46"
SPRINGER-VERLAG GMBH,Age,The dominant human conjunctival epithelial CD8αβ+ T cell population is maintained with age but the number of CD4+ T cells increases.,"£2 338,28"
Springer-Verlag GMBH & Ci,AGE,Voluntary exercise can strengthen the circadian system in aged mice,"£2 002,00"
Oxford University Press,Age and Ageing,Early diagnosis and treatment of HIV infection: magnitude of benefit is greatest in older adults,"£2 040,00"
Cambridge University Press,Ageing & Society,Who cares? Implications of care-giving and -receiving by HIV-infected or -affected older,"£1 695,00"
Wiley,Aging Cell,"TORC1 signaling inhibition by rapamycin and caffeine affect lifespan, global gene expression and cell proliferation of fission yeast","£1 970,57"
Wolters Kluwer,AIDS,HIV infected adolescents in Southern Africa can achieve good treatment outcomes: Results from a large retrospective cohort study.,"£1 968,63"
Wolters Kluwer Health ,AIDS,Evaluation of an empiric risk screening score to identify acute and early HIV-1 infection among MSM in Coastal Kenya.,"£1 834,77"
Wolters Kluwer N.V./Lippinott,AIDS,Grassroots Community Organisations' Contribution to the Scale-Up of HIV Testing and Counselling Services in Zimbabwe,"£2 374,52"
Springer ,AIDS Behav,"Adherence to antiretroviral therapy and clinical outcomes among young adults reporting high-risk sexual behavior, including men who have sex with men, in coastal Kenya.","£1 834,77"
Taylor & Francis,AIDS Care,"Burden of HIV among primary school children and feasibility of primary school-linked HIV testing in Harare, Zimbabwe.","£2 145,60"
Taylor & Francis,Aids Care,Asset ownership among households caring for orphans and vulnerable children in rural Zimbabwe: The influence of ownership on children's health and social vulnerabilities,"£2 399,28"
Taylor & Francis,Aids Care,"Barriers to involvement of men in ANC and VCT in Khayelitsha, South Africa.","£2 399,28"
Taylor and Francis,AIDS Care,WORLDBANK Special Issue: Evidence for a contribution of the Community Response to HIV decline in eastern Zimbabwe?,"£2 232,74"
Wolters Kluwer,AIDS Journal,Short title: TB and VL breakthrough and failure. Orig title: Temporal association between incident tuberculosis and poor virological outcomes in a South African antiretroviral treatment service.,"£2 015,72"
BioMed Central Limited,AIDS Research and Therapy,Collective Patient behaviours derailing ART rool-out in KwaZulu-Natal: Perspectives of Health Care Providers,"£1 240,00"
Wolters Kluwer,AIDS UK,HIV incidence and survival from age-specific seroprevalence after antiretroviral treatment scale up in rural South Africa,"£1 836,92"
Wolters Kluwer,AIDS UK,Sexual behaviour in a rural high HIV prevalence ,"£1 836,92"
OUP,Alcohol and Alcoholism,Post-treatment stage of change predicts 12-month outcome of treatment for alcohol problems,"£2 040,00"
Wiley,Alimentrary Pharmacology & Therapeutics,"Predicting the development of acute kidney injury in liver cirrhosis--an analysis of glomerular filtration rate, proteinuria and kidney injury biomarkers.","£2 373,59"
Wiley,Alimentrary Pharmacology & Therapeutics,Meta-analysis: the diagnostic accuracy of critical flicker frequency in minimal hepatic encephalopathy,"£2 373,59"
Taylor & Francis Journals ,Am J Bioeth,"The ""difficult patient"" conundrum in sickle cell disease in Kenya: complex sociopolitical problems need wide multidimensional solutions.","£1 804,19"
The Sheridan Press ,Am J Trop Med Hyg,Use of Rapid Diagnostic Tests in Malaria School Surveys in Kenya: Does their Under-performance Matter for Planning Malaria Control?,"£1 152,50"
American Psychiatric Publishing,Americal Journal of Psychiatry,High Loading of Polygenic Risk for ADHD in Children with Comorbid Aggression,"£2 350,02"
American Chemical Society,American Chemical Society,Characterizing the Fatty Acid Binding Site in the Cavity of Potassium Channel KcsA,"£1 533,29"
Wiley,American Ethnologist,This is our little Hajj? Muslim Holy sites and reappropriation of the sacred,"£1 870,32"
Wiley ,American Ethnologist,Public secrets in public health: knowing not to know while making scientific . ..,"£1 870,67"
OUP,American Jnl Epidemiology,Using a nonparametric multilevel latent Markov model to evaluate diagnostics for trachoma.,"£2 040,00"
