period,Industry,GDP
2015_Q1,All industries,31917.8
2015_Q2,All industries,32266.2
2015_Q3,All industries,32406.6
2015_Q4,All industries,32298.7
2016_Q1,All industries,32303.8
2016_Q2,All industries,32696.4
2016_Q3,All industries,33070.7
2016_Q4,All industries,33457.8
2017_Q1,All industries,33984.6
2017_Q2,All industries,34167.9
2017_Q3,All industries,34490.9
2017_Q4,All industries,35255.5
2018_Q1,All industries,35838.6
2018_Q2,All industries,36453.0
2018_Q3,All industries,36916.7
2018_Q4,All industries,37205.3
2019_Q1,All industries,37377.9
2019_Q2,All industries,37709.1
2019_Q3,All industries,37991.1
2019_Q4,All industries,38189.9
2020_Q1,All industries,37826.8
2020_Q2,All industries,34260.0
2015_Q1,Private industries,28392.6
2015_Q2,Private industries,28706.8
2015_Q3,Private industries,28826.0
2015_Q4,Private industries,28701.8
2016_Q1,Private industries,28697.5
2016_Q2,Private industries,29058.3
2016_Q3,Private industries,29396.8
2016_Q4,Private industries,29760.6
2017_Q1,Private industries,30263.5
2017_Q2,Private industries,30424.4
2017_Q3,Private industries,30717.7
2017_Q4,Private industries,31425.1
2018_Q1,Private industries,31958.1
2018_Q2,Private industries,32523.1
2018_Q3,Private industries,32940.9
2018_Q4,Private industries,33195.7
2019_Q1,Private industries,33349.6
2019_Q2,Private industries,33632.4
2019_Q3,Private industries,33887.0
2019_Q4,Private industries,34052.5
2020_Q1,Private industries,33685.4
2020_Q2,Private industries,30215.1
2015_Q1,"Agriculture, forestry, fishing, and hunting",466.3
2015_Q2,"Agriculture, forestry, fishing, and hunting",457.9
2015_Q3,"Agriculture, forestry, fishing, and hunting",462.6
2015_Q4,"Agriculture, forestry, fishing, and hunting",453.0
2016_Q1,"Agriculture, forestry, fishing, and hunting",443.7
2016_Q2,"Agriculture, forestry, fishing, and hunting",440.2
2016_Q3,"Agriculture, forestry, fishing, and hunting",431.0
2016_Q4,"Agriculture, forestry, fishing, and hunting",429.4
2017_Q1,"Agriculture, forestry, fishing, and hunting",455.1
2017_Q2,"Agriculture, forestry, fishing, and hunting",455.4
2017_Q3,"Agriculture, forestry, fishing, and hunting",451.1
2017_Q4,"Agriculture, forestry, fishing, and hunting",455.1
2018_Q1,"Agriculture, forestry, fishing, and hunting",457.1
2018_Q2,"Agriculture, forestry, fishing, and hunting",460.9
2018_Q3,"Agriculture, forestry, fishing, and hunting",449.9
2018_Q4,"Agriculture, forestry, fishing, and hunting",454.8
2019_Q1,"Agriculture, forestry, fishing, and hunting",447.0
2019_Q2,"Agriculture, forestry, fishing, and hunting",448.4
2019_Q3,"Agriculture, forestry, fishing, and hunting",453.0
2019_Q4,"Agriculture, forestry, fishing, and hunting",461.3
2020_Q1,"Agriculture, forestry, fishing, and hunting",467.7
2020_Q2,"Agriculture, forestry, fishing, and hunting",416.6
