year,annual_cost
1990,288.1774591
1991,316.485721
1992,338.5658987
1993,336.8669841
1994,332.8447653
1995,344.933845
1996,341.909881
1997,326.4184542
1998,306.3931629
1999,295.6875015
2000,290.3333333
2001,283.3333333
2002,281.6666667
2003,283.6666667
2004,291.6666667
2005,323.6666667
2006,382
2007,423.1111111
2008,487.3333333
2009,498.6666667
2010,484
2011,523.1818182
2012,552.0909091
2013,589.5454545
2014,604.9090909
2015,597.4545455
2016,602.1818182
2017,633.3636364
2018,682
2019,716.0738333
