Order,lot_area,neighborhood,overall_quality,overall_condition,year_built,year_sold,sale_price
1,31770,NAmes,6,5,1960,2010,215000
2,11622,NAmes,5,6,1961,2010,105000
3,14267,NAmes,6,6,1958,2010,172000
4,11160,NAmes,7,5,1968,2010,244000
5,13830,Gilbert,5,5,1997,2010,189900
6,9978,Gilbert,6,6,1998,2010,195500
7,4920,StoneBr,8,5,2001,2010,213500
8,5005,StoneBr,8,5,1992,2010,191500
9,5389,StoneBr,8,5,1995,2010,236500
10,7500,Gilbert,7,5,1999,2010,189000
11,10000,Gilbert,6,5,1993,2010,175900
12,7980,Gilbert,6,7,1992,2010,185000
13,8402,Gilbert,6,5,1998,2010,180400
14,10176,Gilbert,7,5,1990,2010,171500
15,6820,StoneBr,8,5,1985,2010,212000
16,53504,StoneBr,8,5,2003,2010,538000
17,12134,Gilbert,8,7,1988,2010,164000
18,11394,StoneBr,9,2,2010,2010,394432
19,19138,Gilbert,4,5,1951,2010,141000
20,13175,NWAmes,6,6,1978,2010,210000
21,11751,NWAmes,6,6,1977,2010,190000
22,10625,NWAmes,7,6,1974,2010,170000
23,7500,Somerst,7,5,2000,2010,216000
24,11241,NAmes,6,7,1970,2010,149000
25,12537,NAmes,5,6,1971,2010,149900
26,8450,NAmes,5,6,1968,2010,142000
27,8400,NAmes,4,5,1970,2010,126000
28,10500,NAmes,4,5,1971,2010,115000
29,5858,NAmes,7,5,1999,2010,184000
30,1680,BrDale,6,5,1971,2010,96000
31,1680,BrDale,5,5,1971,2010,105500
32,1680,BrDale,6,5,1971,2010,88000
33,4043,NPkVill,6,5,1977,2010,127500
34,2280,NPkVill,6,6,1975,2010,149900
35,2280,NPkVill,7,6,1975,2010,120000
36,2280,NPkVill,6,5,1978,2010,146000
37,12858,NridgHt,9,5,2009,2010,376162
38,11478,NridgHt,8,5,2007,2010,306000
39,10159,NridgHt,9,5,2009,2010,395192
40,12883,NridgHt,8,5,2009,2010,290941
41,12182,NridgHt,7,5,2005,2010,220000
42,11520,NridgHt,9,5,2005,2010,275000
43,14122,NridgHt,8,5,2005,2010,259000
44,10171,NridgHt,7,5,2004,2010,214000
45,12919,NridgHt,9,5,2009,2010,611657
46,6371,NridgHt,7,5,2009,2010,224000
47,14300,NridgHt,9,5,2003,2010,500000
48,13650,NridgHt,8,5,2002,2010,320000
49,7658,NridgHt,9,5,2005,2010,319900
50,7132,NridgHt,8,5,2006,2010,205000
51,2628,NridgHt,7,5,2003,2010,175500
52,18494,Gilbert,6,5,2005,2010,199500
53,3203,Blmngtn,7,5,2006,2010,160000
54,3182,Blmngtn,8,5,2004,2010,192000
55,13300,Gilbert,7,5,2004,2010,184500
56,7851,Gilbert,6,5,2002,2010,216500
57,8577,Gilbert,7,5,2004,2010,185088
58,7750,Gilbert,7,5,2000,2010,180000
59,9505,Gilbert,7,5,2001,2010,222500
60,14774,NoRidge,9,5,1999,2010,333168
61,17433,NoRidge,8,5,1998,2010,355000
62,10593,NoRidge,7,5,1996,2010,260400
63,12256,NoRidge,8,5,1994,2010,325000
64,11764,NoRidge,8,7,1999,2010,290000
65,16770,NoRidge,7,5,1998,2010,221000
66,14720,NoRidge,8,5,1995,2010,410000
67,8987,Somerst,8,5,2005,2010,221500
68,9215,Somerst,7,5,2009,2010,204500
69,8640,Somerst,7,5,2009,2010,215200
70,9000,Somerst,8,5,2008,2010,262500
71,12552,Somerst,7,5,2004,2010,254900
72,10440,Somerst,6,5,2005,2010,271500
73,10142,SawyerW,7,5,2004,2010,233000
74,11920,SawyerW,7,5,2004,2010,181000
75,8880,SawyerW,7,5,1994,2010,205000
76,8012,SawyerW,6,5,1980,2010,143000
77,11218,SawyerW,6,5,1992,2010,189000
78,7892,SawyerW,6,5,1979,2010,99500
79,7175,SawyerW,6,5,1984,2010,125000
80,9453,SawyerW,7,7,1993,2010,194500
81,9672,SawyerW,6,5,1984,2010,152000
82,8400,SawyerW,6,6,1980,2010,171000
83,9800,SawyerW,5,5,1920,2010,67500
84,8930,Sawyer,6,5,1978,2010,112000
85,11782,Sawyer,5,7,1961,2010,148000
86,8450,Sawyer,5,8,1965,2010,138500
87,9819,Sawyer,5,5,1967,2010,122000
88,7500,Sawyer,5,5,1963,2010,133000
89,6897,Sawyer,5,8,1962,2010,127000
90,15410,Sawyer,6,6,1974,2010,169000
91,10186,NoRidge,7,5,1992,2010,190000
92,13143,NoRidge,8,5,1993,2010,362500
93,11134,NoRidge,8,5,1992,2010,285000
94,4835,Somerst,7,5,2004,2010,260000
95,3515,Somerst,7,5,2004,2010,190000
96,3215,Somerst,7,5,2004,2010,155000
97,3182,Somerst,7,5,2004,2010,151000
98,2544,Somerst,7,5,2004,2010,149500
99,2544,Somerst,6,5,2005,2010,152000
100,4403,Somerst,7,5,2009,2010,222000
101,2117,Somerst,6,5,2000,2010,177500
102,2980,Somerst,6,5,2000,2010,177000
103,2572,Somerst,7,5,1999,2010,155000
104,2403,Somerst,7,5,2003,2010,147110
105,12853,Somerst,8,5,2010,2010,267916
106,7379,Somerst,8,5,2000,2010,254000
107,4420,Greens,8,5,1980,2010,155000
108,3880,Greens,8,6,1978,2010,206000
109,13517,Sawyer,6,8,1976,2010,130500
110,8000,Somerst,7,5,2002,2010,230000
111,10456,NWAmes,6,6,1967,2010,218500
112,10791,NWAmes,6,5,1993,2010,243500
113,10603,NWAmes,6,7,1977,2010,205000
114,18837,NWAmes,6,5,1978,2010,212500
115,10421,NWAmes,7,5,1988,2010,196500
116,9360,NWAmes,6,7,1972,2010,197500
117,9600,NWAmes,6,6,1971,2010,171000
118,9600,NAmes,5,5,1966,2010,142250
119,9790,NWAmes,6,5,1963,2010,143000
120,9320,NAmes,4,5,1959,2010,128950
121,9900,NAmes,5,5,1966,2010,159000
122,9680,NAmes,5,6,1967,2010,178900
123,10600,NAmes,6,5,1964,2010,136300
124,14112,NAmes,5,7,1964,2010,180500
125,8800,NAmes,6,7,1963,2010,137500
126,13260,NAmes,5,6,1962,2010,84900
127,9717,NAmes,5,6,1950,2010,142125
128,9724,NAmes,5,7,1952,2010,197600
129,17360,NAmes,6,6,1949,2010,172500
130,7207,BrkSide,5,7,1958,2010,116500
131,5350,BrkSide,3,2,1940,2010,76500
132,9920,NAmes,5,5,1954,2010,128000
133,9600,NAmes,6,6,1955,2010,153000
134,7800,NAmes,5,6,1954,2010,132000
135,11380,NAmes,6,8,1966,2010,178000
136,11600,NAmes,5,5,1960,2010,154300
137,19900,NAmes,7,5,1970,2010,180000
