CONTROL,SHIPMONTH,WEIGHT,WGTADJ,REGION,SECTIONS,STATUS,PRICE,SQFT,BEDROOMS,TITLED,LOCATION,FOUNDATION,SECURED,jstatus,jprice,jsqft,jbedroom,jtitle,jlocation,jfoundation,jsecured
20010001,202001,63.3786,1.1678,3,1,2,52000,960,1,2,3,3,9,I,I,I,I,I,I,I,I
20010002,202001,63.3786,1.1678,3,1,2,39900,1300,3,2,3,3,9,R,R,R,R,R,R,R,R
20010003,202001,19.2842,1.1678,4,1,2,60000,1200,3,2,3,3,1,I,I,I,I,I,I,I,I
20010004,202001,19.2842,1.1678,4,1,2,9,730,1,2,1,2,1,R,9,R,R,I,R,I,I
20010005,202001,19.2842,1.1678,4,1,2,87000,500,1,2,1,3,1,R,R,R,R,R,R,R,R
20010006,202001,19.2842,1.1678,4,1,2,56000,1100,3,9,1,2,1,I,I,I,I,I,I,I,I
20010007,202001,11.2,1.1678,1,1,2,9,1000,1,2,1,3,1,R,9,I,I,I,R,I,I
20010008,202001,63.3786,1.1678,3,1,2,42600,700,1,2,3,3,9,R,R,R,R,R,I,R,R
20010009,202001,63.3786,1.1678,3,1,2,46300,700,1,2,3,3,9,I,I,I,I,I,I,I,I
20010010,202001,63.3786,1.1678,3,1,2,61000,1200,3,1,3,3,9,I,I,I,I,I,I,I,I
20010011,202001,63.3786,1.1678,3,1,2,67000,1300,3,2,3,3,9,I,I,I,I,I,I,I,I
20010012,202001,63.3786,1.1678,3,1,2,63000,1300,3,2,3,2,9,I,I,I,I,I,I,I,I
20010013,202001,63.3786,1.1678,3,1,2,56000,1200,3,2,1,2,9,R,R,R,R,I,R,I,I
20010014,202001,14.5636,1.1678,2,1,2,9,1100,3,2,1,3,1,R,9,I,I,I,R,I,I
20010015,202001,14.5636,1.1678,2,1,2,41400,700,1,2,1,3,1,I,I,I,I,I,I,I,I
20010016,202001,14.5636,1.1678,2,1,2,9,1000,3,2,1,3,1,R,9,I,I,I,R,I,I
20010017,202001,14.5636,1.1678,2,1,2,9,700,1,2,1,3,1,R,9,I,I,I,I,I,I
20010018,202001,14.5636,1.1678,2,1,2,53000,990,3,2,1,3,1,I,I,I,I,I,I,I,I
20010019,202001,14.5636,1.1678,2,1,2,9,1100,3,2,1,3,1,R,9,I,I,I,R,I,I
20010020,202001,14.5636,1.1678,2,1,2,63000,1200,3,2,3,3,1,R,R,R,R,R,R,R,R
20010021,202001,14.5636,1.1678,2,1,2,44500,840,1,2,1,3,1,R,R,R,R,R,R,R,R
20010022,202001,14.5636,1.1678,2,1,2,55000,1000,1,1,1,3,1,I,I,I,I,I,I,I,I
20010023,202001,63.3786,1.1678,3,1,2,54000,1300,3,1,3,3,9,R,R,R,R,R,R,R,R
20010024,202001,14.5636,1.1678,2,1,2,79000,1100,3,1,1,3,1,R,R,R,R,I,R,I,I
20010025,202001,14.5636,1.1678,2,1,2,55000,1100,3,1,1,3,1,R,R,R,R,I,R,I,I
20010026,202001,14.5636,1.1678,2,1,2,60000,990,3,2,1,2,1,R,R,R,R,I,R,I,I
20010027,202001,14.5636,1.1678,2,1,2,9,1100,3,2,1,3,1,R,9,I,I,I,R,I,I
20010028,202001,14.5636,1.1678,2,1,2,56000,1100,3,3,1,3,1,I,I,I,I,I,I,I,I
20010029,202001,14.5636,1.1678,2,1,2,58000,1100,3,2,1,3,1,I,I,I,I,I,I,I,I
20010030,202001,63.3786,1.1678,3,1,2,57000,1100,1,2,3,3,9,R,I,R,R,R,R,R,R
20010031,202001,63.3786,1.1678,3,1,2,57000,1100,1,2,3,2,9,I,I,I,I,I,I,I,I
20010032,202001,14.5636,1.1678,2,1,2,47000,840,1,2,3,3,1,R,R,R,R,R,R,R,R
20010033,202001,19.2842,1.1678,4,1,2,67000,940,1,2,1,3,1,R,R,R,R,R,R,R,R
20010034,202001,14.5636,1.1678,2,1,2,61000,1200,3,3,1,3,1,I,I,I,I,I,I,I,I
20010035,202001,14.5636,1.1678,2,1,2,59000,1200,3,2,1,3,1,I,I,I,I,I,I,I,I
20010036,202001,14.5636,1.1678,2,1,2,52000,920,3,2,3,3,1,R,R,R,R,R,R,R,R
20010037,202001,11.2,1.1678,1,1,2,46300,780,1,9,1,3,1,I,I,I,I,I,I,I,I
20010038,202001,11.2,1.1678,1,1,2,58000,800,1,2,3,3,1,R,R,R,R,R,R,R,R
20010039,202001,11.2,1.1678,1,1,2,62000,960,1,2,1,3,1,R,R,R,R,R,R,R,R
20010040,202001,11.2,1.1678,1,1,2,9,1000,3,2,1,3,1,R,9,I,I,I,I,I,I
20010041,202001,11.2,1.1678,1,1,2,46800,800,1,2,1,3,1,I,I,I,I,I,I,I,I
20010042,202001,11.2,1.1678,1,1,2,56000,780,1,9,3,3,1,R,R,R,R,R,R,R,R
20010043,202001,11.2,1.1678,1,1,2,9,1100,3,2,1,3,1,R,9,I,I,I,R,I,I
20010044,202001,11.2,1.1678,1,1,2,9,670,1,2,1,3,1,R,9,I,I,I,R,I,I
20010045,202001,11.2,1.1678,1,1,2,74000,670,1,2,3,3,1,R,R,R,R,R,R,R,R
20010046,202001,11.2,1.1678,1,1,2,9,1000,3,2,1,3,1,R,9,R,R,I,R,I,I
20010047,202001,63.3786,1.1678,3,1,2,65000,1200,3,2,1,3,9,R,R,R,R,R,R,R,R
20010048,202001,63.3786,1.1678,3,1,2,61000,1200,3,2,3,2,9,I,I,I,I,I,I,I,I
20010049,202001,63.3786,1.1678,3,1,2,56000,1100,3,2,3,3,9,I,I,I,I,I,I,I,I
20010050,202001,14.5636,1.1678,2,1,2,52000,1100,3,2,1,3,1,R,R,R,R,I,R,I,I
20010051,202001,14.5636,1.1678,2,1,2,56000,1100,3,1,3,3,1,I,I,I,I,I,I,I,I
20010052,202001,14.5636,1.1678,2,1,2,58000,1100,3,1,1,3,1,R,I,R,R,I,R,I,I
20010053,202001,19.2842,1.1678,4,1,2,47900,780,1,2,1,1,9,R,R,R,R,R,R,R,R
20010054,202001,11.2,1.1678,1,1,2,44900,780,1,9,1,1,9,R,R,R,R,R,R,R,R
