DATE,TOTALSA
1976-01-01,12.814
1976-02-01,13.34
1976-03-01,13.378
1976-04-01,13.223
1976-05-01,12.962
1976-06-01,13.051
1976-07-01,13.466
1976-08-01,12.953
1976-09-01,13.61
1976-10-01,12.823
1976-11-01,13.332
1976-12-01,14.527
1977-01-01,14.396
1977-02-01,14.709
1977-03-01,15.17
1977-04-01,15.135
1977-05-01,14.984
1977-06-01,14.952
1977-07-01,14.641
1977-08-01,14.859
1977-09-01,14.65
1977-10-01,14.9
1977-11-01,14.799
1977-12-01,15.175
1978-01-01,13.704
1978-02-01,14.363
1978-03-01,15.166
1978-04-01,16.198
1978-05-01,16.298
1978-06-01,16.348
1978-07-01,15.528
1978-08-01,16.045
1978-09-01,14.641
1978-10-01,15.845
1978-11-01,15.484
1978-12-01,15.338
1979-01-01,15.061
1979-02-01,15.321
1979-03-01,15.275
1979-04-01,14.742
1979-05-01,14.374
1979-06-01,12.744
1979-07-01,14.112
1979-08-01,14.344
1979-09-01,14.292
1979-10-01,13.112
1979-11-01,13.025
1979-12-01,13.496
1980-01-01,14.439
1980-02-01,13.276
1980-03-01,12.077
1980-04-01,10.444
1980-05-01,9.54
1980-06-01,10.449
1980-07-01,11.664
1980-08-01,11.154
1980-09-01,10.912
1980-10-01,11.412
1980-11-01,11.257
1980-12-01,10.939
1981-01-01,11.282
1981-02-01,12.351
1981-03-01,12.427
1981-04-01,10.49
1981-05-01,10.354
1981-06-01,10.415
1981-07-01,10.428
1981-08-01,12.681
1981-09-01,11.08
1981-10-01,9.418
1981-11-01,9.494
1981-12-01,9.055
1982-01-01,10.285
1982-02-01,10.924
1982-03-01,10.651
1982-04-01,9.747
1982-05-01,11.103
1982-06-01,9.613
1982-07-01,9.759
1982-08-01,9.947
1982-09-01,11.129
1982-10-01,10.14
1982-11-01,12.03
1982-12-01,11.249
1983-01-01,10.865
1983-02-01,10.608
1983-03-01,11.023
1983-04-01,11.673
1983-05-01,12.028
1983-06-01,12.96
1983-07-01,12.917
1983-08-01,12.246
1983-09-01,12.451
1983-10-01,13.311
1983-11-01,13.125
1983-12-01,14.503
1984-01-01,14.21
1984-02-01,14.381
1984-03-01,14.21
