date,unemployment
1/31/1991,6.4
2/28/1991,6.6
3/31/1991,6.8
4/30/1991,6.7
5/31/1991,6.9
6/30/1991,6.9
7/31/1991,6.8
8/31/1991,6.9
9/30/1991,6.9
10/31/1991,7
11/30/1991,7
12/31/1991,7.3
1/31/1992,7.3
2/29/1992,7.4
3/31/1992,7.4
4/30/1992,7.4
5/31/1992,7.6
6/30/1992,7.8
7/31/1992,7.7
8/31/1992,7.6
9/30/1992,7.6
10/31/1992,7.3
11/30/1992,7.4
12/31/1992,7.4
1/31/1993,7.3
2/28/1993,7.1
3/31/1993,7
4/30/1993,7.1
5/31/1993,7.1
6/30/1993,7
7/31/1993,6.9
8/31/1993,6.8
9/30/1993,6.7
10/31/1993,6.8
11/30/1993,6.6
12/31/1993,6.5
1/31/1994,6.6
2/28/1994,6.6
3/31/1994,6.5
4/30/1994,6.4
5/31/1994,6.1
6/30/1994,6.1
7/31/1994,6.1
8/31/1994,6
9/30/1994,5.9
10/31/1994,5.8
11/30/1994,5.6
12/31/1994,5.5
1/31/1995,5.6
2/28/1995,5.4
3/31/1995,5.4
4/30/1995,5.8
5/31/1995,5.6
6/30/1995,5.6
7/31/1995,5.7
8/31/1995,5.7
9/30/1995,5.6
10/31/1995,5.5
11/30/1995,5.6
12/31/1995,5.6
1/31/1996,5.6
2/29/1996,5.5
3/31/1996,5.5
4/30/1996,5.6
5/31/1996,5.6
6/30/1996,5.3
7/31/1996,5.5
8/31/1996,5.1
9/30/1996,5.2
10/31/1996,5.2
11/30/1996,5.4
12/31/1996,5.4
1/31/1997,5.3
2/28/1997,5.2
3/31/1997,5.2
4/30/1997,5.1
5/31/1997,4.9
6/30/1997,5
7/31/1997,4.9
8/31/1997,4.8
9/30/1997,4.9
10/31/1997,4.7
11/30/1997,4.6
12/31/1997,4.7
1/31/1998,4.6
2/28/1998,4.6
3/31/1998,4.7
4/30/1998,4.3
5/31/1998,4.4
6/30/1998,4.5
7/31/1998,4.5
8/31/1998,4.5
9/30/1998,4.6
10/31/1998,4.5
11/30/1998,4.4
12/31/1998,4.4
1/31/1999,4.3
2/28/1999,4.4
3/31/1999,4.2
4/30/1999,4.3
5/31/1999,4.2
6/30/1999,4.3
7/31/1999,4.3
8/31/1999,4.2
9/30/1999,4.2
10/31/1999,4.1
11/30/1999,4.1
12/31/1999,4
1/31/2000,4
2/29/2000,4.1
3/31/2000,4
4/30/2000,3.8
5/31/2000,4
6/30/2000,4
7/31/2000,4
8/31/2000,4.1
9/30/2000,3.9
10/31/2000,3.9
11/30/2000,3.9
12/31/2000,3.9
1/31/2001,4.2
2/28/2001,4.2
3/31/2001,4.3
4/30/2001,4.4
5/31/2001,4.3
6/30/2001,4.5
7/31/2001,4.6
8/31/2001,4.9
9/30/2001,5
10/31/2001,5.3
11/30/2001,5.5
12/31/2001,5.7
1/31/2002,5.7
2/28/2002,5.7
3/31/2002,5.7
4/30/2002,5.9
5/31/2002,5.8
6/30/2002,5.8
7/31/2002,5.8
8/31/2002,5.7
9/30/2002,5.7
10/31/2002,5.7
11/30/2002,5.9
12/31/2002,6
1/31/2003,5.8
2/28/2003,5.9
3/31/2003,5.9
4/30/2003,6
5/31/2003,6.1
6/30/2003,6.3
7/31/2003,6.2
8/31/2003,6.1
9/30/2003,6.1
10/31/2003,6
11/30/2003,5.8
12/31/2003,5.7
1/31/2004,5.7
2/29/2004,5.6
3/31/2004,5.8
4/30/2004,5.6
5/31/2004,5.6
6/30/2004,5.6
7/31/2004,5.5
8/31/2004,5.4
9/30/2004,5.4
10/31/2004,5.5
11/30/2004,5.4
12/31/2004,5.4
1/31/2005,5.3
2/28/2005,5.4
3/31/2005,5.2
4/30/2005,5.2
5/31/2005,5.1
6/30/2005,5
7/31/2005,5
8/31/2005,4.9
9/30/2005,5
10/31/2005,5
11/30/2005,5
12/31/2005,4.9
1/31/2006,4.7
2/28/2006,4.8
3/31/2006,4.7
4/30/2006,4.7
5/31/2006,4.6
6/30/2006,4.6
7/31/2006,4.7
8/31/2006,4.7
9/30/2006,4.5
10/31/2006,4.4
11/30/2006,4.5
12/31/2006,4.4
1/31/2007,4.6
2/28/2007,4.5
3/31/2007,4.4
4/30/2007,4.5
5/31/2007,4.4
6/30/2007,4.6
7/31/2007,4.7
8/31/2007,4.6
9/30/2007,4.7
10/31/2007,4.7
11/30/2007,4.7
12/31/2007,5
1/31/2008,5
2/29/2008,4.9
3/31/2008,5.1
4/30/2008,5
5/31/2008,5.4
6/30/2008,5.6
7/31/2008,5.8
8/31/2008,6.1
9/30/2008,6.1
10/31/2008,6.5
11/30/2008,6.8
12/31/2008,7.3
1/31/2009,7.8
2/28/2009,8.3
3/31/2009,8.7
4/30/2009,9
5/31/2009,9.4
6/30/2009,9.5
7/31/2009,9.5
8/31/2009,9.6
9/30/2009,9.8
10/31/2009,10
11/30/2009,9.9
12/31/2009,9.9
1/31/2010,9.8
2/28/2010,9.8
3/31/2010,9.9
4/30/2010,9.9
5/31/2010,9.6
6/30/2010,9.4
7/31/2010,9.4
8/31/2010,9.5
9/30/2010,9.5
10/31/2010,9.4
11/30/2010,9.8
12/31/2010,9.3
1/31/2011,9.1
2/28/2011,9
3/31/2011,9
4/30/2011,9.1
5/31/2011,9
6/30/2011,9.1
7/31/2011,9
8/31/2011,9.0
9/30/2011,9
10/31/2011,8.8
11/30/2011,8.6
12/31/2011,8.5
1/31/2012,8.3
2/29/2012,8.3
3/31/2012,8.2
4/30/2012,8.2
5/31/2012,8.2
6/30/2012,8.2
7/31/2012,8.2
8/31/2012,8.1
9/30/2012,7.8
10/31/2012,7.8
11/30/2012,7.7
12/31/2012,7.9
1/31/2013,8
2/28/2013,7.7
3/31/2013,7.5
4/30/2013,7.6
5/31/2013,7.5
6/30/2013,7.5
7/31/2013,7.3
8/31/2013,7.2
9/30/2013,7.2
10/31/2013,7.2
11/30/2013,6.9
12/31/2013,6.7
1/31/2014,6.6
2/28/2014,6.7
3/31/2014,6.7
4/30/2014,6.2
5/31/2014,6.3
6/30/2014,6.1
7/31/2014,6.2
8/31/2014,6.1
9/30/2014,5.9
10/31/2014,5.7
11/30/2014,5.8
12/31/2014,5.6
1/31/2015,5.7
2/28/2015,5.5
3/31/2015,5.4
4/30/2015,5.4
5/31/2015,5.6
6/30/2015,5.3
7/31/2015,5.2
8/31/2015,5.1
9/30/2015,5
10/31/2015,5
11/30/2015,5.1
12/31/2015,5
1/31/2016,4.8
2/29/2016,4.9
3/31/2016,5
4/30/2016,5.1
5/31/2016,4.8
6/30/2016,4.9
7/31/2016,4.8
8/31/2016,4.9
9/30/2016,5
10/31/2016,4.9
11/30/2016,4.7
12/31/2016,4.7
1/31/2017,4.7
2/28/2017,4.6
3/31/2017,4.4
4/30/2017,4.5
5/31/2017,4.4
6/30/2017,4.3
7/31/2017,4.3
8/31/2017,4.4
9/30/2017,4.2
10/31/2017,4.1
11/30/2017,4.2
12/31/2017,4.1
1/31/2018,4
2/28/2018,4.1
3/31/2018,4
4/30/2018,4
5/31/2018,3.8
6/30/2018,4
7/31/2018,3.8
8/31/2018,3.8
9/30/2018,3.7
10/31/2018,3.8
11/30/2018,3.8
12/31/2018,3.9
1/31/2019,4
2/28/2019,3.8
3/31/2019,3.8
4/30/2019,3.7
5/31/2019,3.7
6/30/2019,3.6
7/31/2019,3.6
8/31/2019,3.7
9/30/2019,3.5
10/31/2019,3.6
11/30/2019,3.6
12/31/2019,3.6
1/31/2020,3.5
2/29/2020,3.5
3/31/2020,4.4
4/30/2020,14.8
5/31/2020,13.3
6/30/2020,11.1
7/31/2020,10.2
8/31/2020,8.4
9/30/2020,7.8
10/31/2020,6.9
11/30/2020,6.7
12/31/2020,6.7
1/31/2021,6.3
2/28/2021,6.2
3/31/2021,6
4/30/2021,6.1
5/31/2021,5.8
6/30/2021,5.9
7/31/2021,5.4
