date,num_recorded,cumulative_recorded
1/1/1992,2,2
4/1/1994,1,3
11/1/1995,1,4
1/1/1997,3,7
7/1/1997,2,9
10/1/1998,1,10
12/1/1998,1,11
1/1/1999,1,12
7/1/1999,1,13
1/1/2000,2,15
4/1/2000,3,18
6/1/2000,2,20
12/1/2000,3,23
4/1/2001,4,27
7/1/2001,5,32
8/1/2001,2,34
12/1/2001,2,36
3/1/2002,5,41
5/1/2002,3,44
6/1/2002,2,46
7/1/2002,3,49
9/1/2002,1,50
10/1/2002,1,51
12/1/2002,3,54
1/1/2003,9,63
2/1/2003,1,64
4/1/2003,4,68
5/1/2003,1,69
6/1/2003,1,70
7/1/2003,1,71
8/1/2003,1,72
11/1/2003,5,77
12/1/2003,2,79
1/1/2004,6,85
2/1/2004,12,97
5/1/2004,1,98
7/1/2004,2,100
8/1/2004,2,102
10/1/2004,6,108
11/1/2004,1,109
12/1/2004,3,112
1/1/2005,5,117
2/1/2005,1,118
3/1/2005,1,119
4/1/2005,3,122
7/1/2005,4,126
8/1/2005,5,131
9/1/2005,1,132
10/1/2005,7,139
11/1/2005,2,141
12/1/2005,3,144
1/1/2006,1,145
2/1/2006,4,149
3/1/2006,1,150
4/1/2006,1,151
5/1/2006,4,155
6/1/2006,3,158
7/1/2006,16,174
8/1/2006,3,177
9/1/2006,2,179
10/1/2006,5,184
11/1/2006,2,186
12/1/2006,1,187
1/1/2007,4,191
2/1/2007,2,193
3/1/2007,3,196
5/1/2007,6,202
7/1/2007,1,203
8/1/2007,5,208
9/1/2007,6,214
10/1/2007,3,217
11/1/2007,9,226
12/1/2007,5,231
1/1/2008,2,233
2/1/2008,2,235
3/1/2008,6,241
4/1/2008,4,245
5/1/2008,2,247
6/1/2008,5,252
8/1/2008,4,256
9/1/2008,2,258
10/1/2008,1,259
11/1/2008,5,264
12/1/2008,7,271
1/1/2009,6,277
2/1/2009,3,280
3/1/2009,21,301
4/1/2009,1,302
5/1/2009,2,304
6/1/2009,7,311
7/1/2009,2,313
8/1/2009,1,314
9/1/2009,5,319
10/1/2009,12,331
11/1/2009,3,334
12/1/2009,8,342
1/1/2010,8,350
2/1/2010,8,358
3/1/2010,18,376
4/1/2010,8,384
5/1/2010,11,395
7/1/2010,2,397
8/1/2010,3,400
9/1/2010,7,407
10/1/2010,9,416
11/1/2010,12,428
12/1/2010,9,437
1/1/2011,12,449
2/1/2011,19,468
3/1/2011,9,477
4/1/2011,11,488
5/1/2011,4,492
6/1/2011,5,497
7/1/2011,6,503
9/1/2011,13,516
10/1/2011,8,524
11/1/2011,21,545
12/1/2011,27,572
1/1/2012,16,588
2/1/2012,11,599
3/1/2012,3,602
4/1/2012,21,623
5/1/2012,86,709
6/1/2012,2,711
7/1/2012,8,719
8/1/2012,5,724
9/1/2012,13,737
10/1/2012,12,749
11/1/2012,5,754
12/1/2012,12,766
1/1/2013,40,806
2/1/2013,4,810
3/1/2013,19,829
4/1/2013,25,854
5/1/2013,14,868
6/1/2013,4,872
7/1/2013,6,878
8/1/2013,13,891
9/1/2013,7,898
10/1/2013,12,910
11/1/2013,7,917
12/1/2013,22,939
1/1/2014,20,959
1/8/2014,1804,2763
2/1/2014,11,2774
3/1/2014,44,2818
4/1/2014,5,2823
5/1/2014,10,2833
6/1/2014,23,2856
7/1/2014,7,2863
8/1/2014,5,2868
9/1/2014,1,2869
10/1/2014,6,2875
11/1/2014,3,2878
12/1/2014,7,2885
12/4/2014,244,3129
12/18/2014,36,3165
1/1/2015,10,3175
2/1/2015,3,3178
3/1/2015,6,3184
4/1/2015,10,3194
5/1/2015,7,3201
6/1/2015,8,3209
7/1/2015,9,3218
8/1/2015,35,3253
9/1/2015,7,3260
9/24/2015,2,3262
10/1/2015,3,3265
11/1/2015,11,3276
12/1/2015,14,3290
1/1/2016,71,3361
2/1/2016,11,3372
3/1/2016,4,3376
4/1/2016,19,3395
5/1/2016,8,3403
6/1/2016,14,3417
7/1/2016,10,3427
8/1/2016,11,3438
9/1/2016,25,3463
10/1/2016,79,3542
11/1/2016,6,3548
12/1/2016,16,3564
1/1/2017,3,3567
2/1/2017,10,3577
3/1/2017,15,3592
4/1/2017,16,3608
5/1/2017,12,3620
6/1/2017,20,3640
7/1/2017,152,3792
8/1/2017,4,3796
8/31/2017,3,3799
9/1/2017,7,3806
10/1/2017,9,3815
11/1/2017,18,3833
12/1/2017,9,3842
1/1/2018,27,3869
2/1/2018,19,3888
3/1/2018,88,3976
4/1/2018,6,3982
5/1/2018,10,3992
6/1/2018,9,4001
7/1/2018,9,4010
8/1/2018,29,4039
9/1/2018,5,4044
10/1/2018,9,4053
11/1/2018,24,4077
12/1/2018,8,4085
1/1/2019,17,4102
2/1/2019,37,4139
3/1/2019,10,4149
4/1/2019,16,4165
5/1/2019,14,4179
6/1/2019,25,4204
7/1/2019,23,4227
8/1/2019,15,4242
9/1/2019,7,4249
10/1/2019,5,4254
11/1/2019,13,4267
12/1/2019,12,4279
1/1/2020,9,4288
2/1/2020,9,4297
3/1/2020,12,4309
4/1/2020,10,4319
5/1/2020,6,4325
6/1/2020,10,4335
7/1/2020,17,4352
8/1/2020,13,4365
9/1/2020,5,4370
10/1/2020,7,4377
11/1/2020,4,4381
12/1/2020,4,4385
1/1/2021,13,4398
2/1/2021,14,4412
3/1/2021,4,4416
4/1/2021,2,4418
5/1/2021,28,4446
6/1/2021,6,4452
7/1/2021,16,4468
8/1/2021,4,4472
