date,population aged 100+ (000),gender
7/1/1950,   9,male
7/1/1950,   25,female
7/1/1951,   8,male
7/1/1951,   23,female
7/1/1952,   8,male
7/1/1952,   21,female
7/1/1953,   7,male
7/1/1953,   20,female
7/1/1954,   6,male
7/1/1954,   19,female
7/1/1955,   6,male
7/1/1955,   18,female
7/1/1956,   6,male
7/1/1956,   17,female
7/1/1957,   5,male
7/1/1957,   17,female
7/1/1958,   5,male
7/1/1958,   16,female
7/1/1959,   5,male
7/1/1959,   16,female
7/1/1960,   5,male
7/1/1960,   15,female
7/1/1961,   5,male
7/1/1961,   15,female
7/1/1962,   5,male
7/1/1962,   15,female
7/1/1963,   5,male
7/1/1963,   15,female
7/1/1964,   5,male
7/1/1964,   15,female
7/1/1965,   5,male
7/1/1965,   15,female
7/1/1966,   5,male
7/1/1966,   16,female
7/1/1967,   5,male
7/1/1967,   16,female
7/1/1968,   5,male
7/1/1968,   16,female
7/1/1969,   5,male
7/1/1969,   17,female
7/1/1970,   6,male
7/1/1970,   18,female
7/1/1971,   6,male
7/1/1971,   19,female
7/1/1972,   6,male
7/1/1972,   20,female
7/1/1973,   7,male
7/1/1973,   21,female
7/1/1974,   7,male
7/1/1974,   23,female
7/1/1975,   8,male
7/1/1975,   25,female
7/1/1976,   8,male
7/1/1976,   27,female
7/1/1977,   8,male
7/1/1977,   28,female
7/1/1978,   9,male
7/1/1978,   30,female
7/1/1979,   10,male
7/1/1979,   33,female
7/1/1980,   10,male
7/1/1980,   35,female
7/1/1981,   11,male
7/1/1981,   38,female
7/1/1982,   12,male
7/1/1982,   41,female
7/1/1983,   12,male
7/1/1983,   45,female
7/1/1984,   13,male
7/1/1984,   48,female
7/1/1985,   14,male
7/1/1985,   52,female
7/1/1986,   15,male
7/1/1986,   56,female
7/1/1987,   16,male
7/1/1987,   60,female
7/1/1988,   17,male
7/1/1988,   65,female
7/1/1989,   17,male
7/1/1989,   69,female
7/1/1990,   18,male
7/1/1990,   74,female
7/1/1991,   19,male
7/1/1991,   78,female
7/1/1992,   20,male
7/1/1992,   83,female
7/1/1993,   21,male
7/1/1993,   88,female
7/1/1994,   22,male
7/1/1994,   93,female
7/1/1995,   22,male
7/1/1995,   98,female
7/1/1996,   23,male
7/1/1996,   102,female
7/1/1997,   24,male
7/1/1997,   107,female
7/1/1998,   25,male
7/1/1998,   112,female
7/1/1999,   26,male
7/1/1999,   117,female
7/1/2000,   27,male
7/1/2000,   123,female
7/1/2001,   29,male
7/1/2001,   131,female
7/1/2002,   31,male
7/1/2002,   139,female
7/1/2003,   34,male
7/1/2003,   148,female
7/1/2004,   37,male
7/1/2004,   158,female
7/1/2005,   39,male
7/1/2005,   168,female
7/1/2006,   42,male
7/1/2006,   180,female
7/1/2007,   45,male
7/1/2007,   193,female
7/1/2008,   49,male
7/1/2008,   206,female
7/1/2009,   53,male
7/1/2009,   221,female
7/1/2010,   57,male
7/1/2010,   237,female
7/1/2011,   61,male
7/1/2011,   254,female
7/1/2012,   67,male
7/1/2012,   273,female
7/1/2013,   72,male
7/1/2013,   292,female
7/1/2014,   78,male
7/1/2014,   312,female
7/1/2015,   85,male
7/1/2015,   332,female
7/1/2016,   91,male
7/1/2016,   352,female
7/1/2017,   98,male
7/1/2017,   372,female
7/1/2018,   106,male
7/1/2018,   393,female
7/1/2019,   115,male
7/1/2019,   419,female
7/1/2020,   124,male
7/1/2020,   449,female
