date,hour,rentals
1/1/2011,0,16
1/1/2011,1,40
1/1/2011,2,32
1/1/2011,3,13
1/1/2011,4,1
1/1/2011,5,1
1/1/2011,6,2
1/1/2011,7,3
1/1/2011,8,8
1/1/2011,9,14
1/1/2011,10,36
1/1/2011,11,56
1/1/2011,12,84
1/1/2011,13,94
1/1/2011,14,106
1/1/2011,15,110
1/1/2011,16,93
1/1/2011,17,67
1/1/2011,18,35
1/1/2011,19,37
1/1/2011,20,36
1/1/2011,21,34
1/1/2011,22,28
1/1/2011,23,39
1/2/2011,0,17
1/2/2011,1,17
1/2/2011,2,9
1/2/2011,3,6
1/2/2011,4,3
1/2/2011,6,2
1/2/2011,7,1
1/2/2011,8,8
1/2/2011,9,20
1/2/2011,10,53
1/2/2011,11,70
1/2/2011,12,93
1/2/2011,13,75
1/2/2011,14,59
1/2/2011,15,74
1/2/2011,16,76
1/2/2011,17,65
1/2/2011,18,53
1/2/2011,19,30
1/2/2011,20,22
1/2/2011,21,31
1/2/2011,22,9
1/2/2011,23,8
1/3/2011,0,5
1/3/2011,1,2
1/3/2011,4,1
1/3/2011,5,3
1/3/2011,6,30
1/3/2011,7,64
1/3/2011,8,154
1/3/2011,9,88
1/3/2011,10,44
1/3/2011,11,51
1/3/2011,12,61
1/3/2011,13,61
1/3/2011,14,77
1/3/2011,15,72
1/3/2011,16,76
1/3/2011,17,157
1/3/2011,18,157
1/3/2011,19,110
1/3/2011,20,52
1/3/2011,21,52
1/3/2011,22,20
1/3/2011,23,12
1/4/2011,0,5
1/4/2011,1,2
1/4/2011,2,1
1/4/2011,4,2
1/4/2011,5,4
1/4/2011,6,36
1/4/2011,7,94
1/4/2011,8,179
1/4/2011,9,100
1/4/2011,10,42
1/4/2011,11,57
1/4/2011,12,78
1/4/2011,13,97
1/4/2011,14,63
1/4/2011,15,65
1/4/2011,16,83
1/4/2011,17,212
1/4/2011,18,182
1/4/2011,19,112
1/4/2011,20,54
1/4/2011,21,48
1/4/2011,22,35
1/4/2011,23,11
1/5/2011,0,6
1/5/2011,1,6
1/5/2011,2,2
1/5/2011,4,2
1/5/2011,5,3
1/5/2011,6,33
1/5/2011,7,88
1/5/2011,8,195
1/5/2011,9,115
1/5/2011,10,57
1/5/2011,11,46
1/5/2011,12,79
1/5/2011,13,71
1/5/2011,14,62
1/5/2011,15,62
1/5/2011,16,89
1/5/2011,17,190
1/5/2011,18,169
1/5/2011,19,132
1/5/2011,20,89
1/5/2011,21,43
1/5/2011,22,42
1/5/2011,23,19
1/6/2011,0,11
1/6/2011,1,4
1/6/2011,2,2
1/6/2011,4,1
1/6/2011,5,4
