ht_father,ht_child
78.5,73.2
78.5,69.2
78.5,69
78.5,69
75.5,73.5
75.5,72.5
75.5,65.5
75.5,65.5
75,71
75,68
75,70.5
75,68.5
75,67
75,64.5
75,63
75,72
75,69
75,68
75,66.5
75,62.5
75,62.5
74,69.5
74,76.5
74,74
74,73
74,73
74,70.5
74,64
74,70.5
74,68
74,66
74.5,66
74,65.5
74,74
74,70
74,68
74,67
74,67
74,66
74,63.5
74,63
74,65
73,68
73,67
73,71
73,70.5
73,66.7
73,72
73,70.5
73,70.2
73,70.2
73,69.2
73,68.7
73,66.5
73,64.5
73,63.5
73,74
73,73
73,71.5
73,62.5
73,66.5
73,62.3
73,66
73,64.5
73,64
73.2,62.7
72.7,73.2
72.7,73
72.7,72.7
72.7,70
72.7,69
72.7,68.5
72.7,68
72.7,66
72,73
72,68.5
72,68
72,73
72,71
72,67
72,74.2
72,70.5
72,69.5
72,66
72,65.5
72,65
72,65
72,65.5
72,66
72,63
72,70.5
72,70.5
72,69
72,65
72,63
72,69
72,67
72,63
72,73
72,67
72,70.5
72,70
72,66.5
72,63
72.5,67.5
72.5,67.2
72.5,66.7
72,64
72.5,71
72.5,70
72.5,70
72.5,66
72.5,65
72.5,65
72,74
72,72
72,69
72,67.5
72,63.5
72,72
72,71.5
72,71.5
72,70
72,68
72,65.7
71,78
71,74
71,73
71,72
71,67
71,73.2
71,73
71,69
71,67
71,70
71,67
71,67
71,66.5
71,70
71,69
71,68.5
71,66
71,64.5
71,63
71,71
71,67
71,76
71,72
71,71
71,66
71,66
71.7,70.5
71,72
71,72
71,71
71,69
71,66
71,65
71.5,73
71.5,65.2
71.5,68.5
71.5,67.7
71,68
71,68
71,62
71,68
71,68
71,67.5
71,66.5
71,66.5
71,66
71,65.5
71,65
71.7,72
71.7,71
71.7,70.5
71.7,67
71,68
71,68
71,68
71.5,72
71.5,71
71.5,70
71.5,66
71.5,64.5
71.5,64.5
71.5,62
71.2,67.5
71.2,64.5
71,71
71,67
71,66
71,65
71,63.5
71,71
71,70
71,70
71,64
71,65
71,65
71,64
71,63
71,63
71,71
71,71
71,70
71,63.5
71,71
71,70
71,64.5
71,62.5
71,61.5
71,72
71,70.5
71,70.5
71,64.5
71,60
71,70
71,64
71,64
71,64
71,62.5
71,70.5
71,70
71,69
71,69
71,66
71,64.5
71,64
71,62
71,71.5
71,69
70,71
70,70
70,69
70,69
70,70
70,68.7
70,68
70,66
70,64
70,62
70,75
70,70
70,69
70,66
70,64
70,60
70,67.5
70,73
70,72
70,72
70,66.5
70,69.2
70,67.2
70,66.5
70,66
70,66
70,64.2
70,63.7
70.5,72
70.5,70.2
70.5,69
70.5,68.5
70.5,68
70.5,65
70.5,61.5
70.5,61
70.5,61
70,73
70,72
70,70.5
70,65
70,65
70,64.5
70,63
70,62
70,67
70,65
70,64.5
70,62.5
70,62.5
70,70
70,70
70,67
70,65
70,65
70,63
70,79
70,75
70,71
70,69
70,67
70,65.7
70,62
70,73
70,72.5
70,65
70,69
70,69
70,72
70,70
70,68.7
70,66.5
70,65.5
70,64.7
70,64.5
70,70.7
70,70
70,68
70,67
70,66
70,65
70,67
70,70
70,68
70,66.7
70,65.5
70,72
70,70
70,62.5
70,61.2
70,60.1
70.5,74
70.5,69.5
70.5,69
70.5,68
70.5,68
70.5,68
70.5,65.5
70.5,65
70.5,60
70,68
70,65
70,64
70,62
70,71
70,70
70,70
70,70
70,69.5
70,68.5
70,69
70,65
70,64
70,70
70,67
70,65.5
70,63.7
70,63.2
70,62.5
70,62.2
70,61
70.5,72.5
70.5,69
70.5,67
70.5,64.5
70.5,64
70,71
70,67.5
70,67.5
70,63.5
70,68
70,67
70,63.7
70,62
70,70
70,66.5
70,62
70,61
70.5,72
70.5,70
70.5,69.5
70.5,69.5
70.5,68
70.5,65
70.5,64
70.5,63
70.3,70.7
70.3,69.7
70.3,69.2
70.3,65.2
70.3,64
70.3,63.5
70.3,63.2
70.5,72
70.5,72
70.5,60
70,71.2
70,67
70,67
70,64.5
70,65
70,63
70,65
70,65
70,71.5
70,64.5
70,63
70,72
