Jahr;Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez
1968;26.4;26.4;28.1;28.1;29.8;29.8;29.8;29.8;29.8;29.8;28.1;28.1
1969;26.4;26.4;28.1;29.8;29.8;29.8;29.8;;29.8;29.8;29.8;29.8
1970;28.1;28.1;28.1;29.9;29.8;29.9;28.1;29.8;29.8;29.8;29.8;
1971;26.4;26.1;26.4;;29.8;28.1;29.8;28.1;;;28.0;
1972;;;;;;;;28.1;;;;28.0
1974;28.1;28.1;28.1;;29.9;;;;29.9;29.9;;
1975;28.1;28.1;28.1;29.9;;29.9;29.9;29.9;29.9;29.9;29.9;29.9
1976;28.1;28.1;28.1;;;;;;;;;
1978;28.1;;28.1;26.4;;;;;;28.1;29.8;29.9
1979;28.1;;;29.8;29.8;29.8;29.8;29.8;29.8;29.8;29.8;
1980;;28.2;28.1;29.8;;;29.8;29.8;29.8;29.8;;31.7
1981;28.1;28.1;22.2;;31.7;;29.8;;29.8;29.8;29.8;29.8
1982;28.0;28.1;;29.8;29.8;29.8;29.8;29.8;28.1;29.8;29.8;29.8
1983;28.1;28.1;29.8;29.8;31.7;31.7;29.8;29.8;29.8;31.7;29.8;29.8
1984;28.1;28.1;28.1;29.8;;29.8;29.8;29.8;29.8;29.8;29.8;29.8
1985;;;29.8;;29.8;;29.8;29.8;29.8;29.8;29.8;
1986;29.8;28.1;29.8;;29.8;;29.8;29.8;29.8;;29.8;
1987;26.4;;29.8;;31.7;31.7;;29.8;;31.7;31.7;
1988;29.8;29.8;29.8;31.7;29.8;29.8;31.7;29.8;31.7;29.8;28.1;29.8
1989;29.8;29.8;29.8;29.8;31.6;29.8;28.1;29.8;29.8;29.8;;31.6
1990;28.1;29.8;28.1;29.8;;28.2;;;29.8;29.8;29.8;26.4
1991;28.1;28.1;28.1;;31.6;;31.6;29.8;31.6;;31.6;29.8
1992;;;29.8;29.8;31.6;29.8;29.8;31.6;29.8;29.8;29.8;
1993;;;27.2;29.8;23.8;29.8;29.8;29.8;29.8;29.8;29.8;29.8
1994;29.8;29.8;29.8;29.8;29.8;;29.8;29.8;29.8;29.8;29.8;29.8
1995;28.1;;;;;;;;;;;
1997;;;28.1;;;;;;;;;
2000;;;;;;;;;;;;29.9
2001;;;;;;;30.3;;;;;
2002;;28.0;;;;;;29.4;;;;
2003;;;;;;;;;;;28.0;
2004;;28.0;;;;;27.8;;;;;
2006;;;;;;;;29.8;;;;
2007;;;;;;;;;31.6;;;
2008;;;;;;;;28.9;;;;
2009;;;;;;;30.3;;;;;
2010;;;;;;;31.4;;;;;
2011;29.7;29.6;30.5;30.6;31.5;31.3;31.0;30.9;30.7;30.6;30.8;31.1
2012;;30.0;;31.4;31.3;30.9;31.1;31.4;30.9;30.7;31.1;29.8
2013;29.9;29.4;29.9;31.1;31.3;30.8;29.9;30.5;30.5;30.3;29.9;30.6
2014;28.0;28.0;29.3;30.9;32.2;32.0;31.9;31.4;31.0;31.7;31.4;30.2
2015;29.8;28.0;28.0;31.7;32.1;32.0;31.7;31.7;31.7;31.7;31.7;29.9
2016;28.0;28.5;28.0;29.9;31.7;29.9;30.7;30.9;30.3;30.6;29.9;29.9
2017;29.9;28.0;29.9;30.2;31.7;30.3;30.2;30.6;30.2;30.6;30.5;30.3

