id,country,designation,points,price,province,region,taster_name,taster_twitter_handle,variety,winery
0,Italy,Vulkà Bianco,87,,Sicily & Sardinia,Etna,Kerin O’Keefe,@kerinokeefe,White Blend,Nicosia
1,Portugal,Avidagos,87,15,Douro,,Roger Voss,@vossroger,Portuguese Red,Quinta dos Avidagos
2,US,,87,14,Oregon,Willamette Valley,Paul Gregutt,@paulgwine ,Pinot Gris,Rainstorm
3,US,Reserve Late Harvest,87,13,Michigan,Lake Michigan Shore,Alexander Peartree,,Riesling,St. Julian
4,US,Vintner's Reserve Wild Child Block,87,65,Oregon,Willamette Valley,Paul Gregutt,@paulgwine ,Pinot Noir,Sweet Cheeks
5,Spain,Ars In Vitro,87,15,Northern Spain,Navarra,Michael Schachner,@wineschach,Tempranillo-Merlot,Tandem
6,Italy,Belsito,87,16,Sicily & Sardinia,Vittoria,Kerin O’Keefe,@kerinokeefe,Frappato,Terre di Giurfo
7,France,,87,24,Alsace,Alsace,Roger Voss,@vossroger,Gewürztraminer,Trimbach
8,Germany,Shine,87,12,Rheinhessen,,Anna Lee C. Iijima,,Gewürztraminer,Heinz Eifel
9,France,Les Natures,87,27,Alsace,Alsace,Roger Voss,@vossroger,Pinot Gris,Jean-Baptiste Adam
10,US,Mountain Cuvée,87,19,California,Napa Valley,Virginie Boone,@vboone,Cabernet Sauvignon,Kirkland Signature
11,France,,87,30,Alsace,Alsace,Roger Voss,@vossroger,Gewürztraminer,Leon Beyer
12,US,,87,34,California,Alexander Valley,Virginie Boone,@vboone,Cabernet Sauvignon,Louis M. Martini
13,Italy,Rosso,87,,Sicily & Sardinia,Etna,Kerin O’Keefe,@kerinokeefe,Nerello Mascalese,Masseria Setteporte
14,US,,87,12,California,Central Coast,Matt Kettmann,@mattkettmann,Chardonnay,Mirassou
15,Germany,Devon,87,24,Mosel,,Anna Lee C. Iijima,,Riesling,Richard Böcking
16,Argentina,Felix,87,30,Other,Cafayate,Michael Schachner,@wineschach,Malbec,Felix Lavaque
17,Argentina,Winemaker Selection,87,13,Mendoza Province,Mendoza,Michael Schachner,@wineschach,Malbec,Gaucho Andino
18,Spain,Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza,87,28,Northern Spain,Ribera del Duero,Michael Schachner,@wineschach,Tempranillo Blend,Pradorey
19,US,,87,32,Virginia,Virginia,Alexander Peartree,,Meritage,Quiévremont
20,US,Vin de Maison,87,23,Virginia,Virginia,Alexander Peartree,,Red Blend,Quiévremont
21,US,,87,20,Oregon,Oregon,Paul Gregutt,@paulgwine ,Pinot Noir,Acrobat
